X1, X2, X3, X4, X5, X6, X7, X8, X9, y
0.357,0.354,0.291,0.47,0.506,0.494,0.509,0.038,0.42,0.298
0.413,0.396,0.261,0.333,0.422,0.338,0.437,0.124,0.679,0.254
0.191,0.192,0.259,0.5,0.59,0.455,0.598,0.19,0.522,0.171
0.55,0.557,0.605,0.439,0.506,0.364,0.446,0.005,0.471,0.435
0.381,0.367,0.19,0.424,0.494,0.481,0.571,0.301,0.352,0.19
0.373,0.363,0.419,0.545,0.578,0.429,0.509,0.165,0.526,0.339
0.211,0.206,0.283,0.545,0.602,0.494,0.634,0.567,0.505,0.191
0.193,0.183,0.219,0.515,0.59,0.584,0.679,0.443,0.164,0.144
0.472,0.454,0.21,0.273,0.349,0.234,0.304,0.333,0.505,0.385
0.251,0.244,0.214,0.379,0.446,0.468,0.589,0.362,0.215,0.151
0.643,0.642,0.529,0.303,0.349,0.338,0.348,0.009,0.536,0.493
0.197,0.166,0.133,0.303,0.398,0.325,0.491,0.553,0.372,0.232
0.107,0.112,0.235,0.712,0.819,0.74,0.848,0.734,0.171,0.095
0.745,0.729,0.237,0.364,0.289,0.273,0.25,0.064,0.706,0.44
0.275,0.273,0.344,0.621,0.687,0.468,0.554,0.183,0.188,0.259
0.126,0.119,0.211,0.561,0.663,0.597,0.732,0.284,0.283,0.114
0.113,0.099,0.204,0.455,0.554,0.571,0.714,0.119,0.433,0.058
0.322,0.291,0.187,0.424,0.458,0.364,0.473,0.855,0.396,0.31
0.565,0.559,0.182,0.561,0.578,0.351,0.375,0.08,0.672,0.363
0.707,0.685,0.229,0.348,0.313,0.234,0.241,0.066,0.877,0.524
0.044,0.043,0.303,0.742,0.831,0.636,0.768,0.185,0.13,0.08
0.219,0.204,0.303,0.53,0.578,0.545,0.67,0.879,0.382,0.191
0.428,0.425,0.36,0.455,0.482,0.416,0.482,0.176,0.399,0.341
0.199,0.174,0.148,0.379,0.434,0.364,0.5,0.534,0.338,0.194
0.448,0.443,0.351,0.409,0.398,0.403,0.429,0.177,0.474,0.345
0.35,0.349,0.373,0.5,0.518,0.455,0.518,0.177,0.171,0.273
0.408,0.398,0.164,0.409,0.446,0.39,0.482,0.193,0.529,0.278
0.45,0.438,0.183,0.545,0.614,0.584,0.688,0.606,0.573,0.146
0.689,0.664,0.169,0.091,0.12,0.234,0.241,0.27,0.618,0.496
0.352,0.342,0.339,0.409,0.458,0.442,0.527,0.55,0.229,0.25
0.86,0.881,0.756,0.136,0.229,0.195,0.25,0.262,0.652,0.42
0.104,0.108,0.418,0.53,0.639,0.545,0.652,0.604,0.184,0.167
0.528,0.533,0.389,0.667,0.651,0.481,0.536,0.044,0.573,0.536
0.395,0.394,0.321,0.439,0.494,0.468,0.473,0.041,0.638,0.31
0.576,0.541,0.136,0.167,0.181,0.169,0.295,0.106,0.645,0.4
0.239,0.235,0.197,0.727,0.747,0.74,0.777,0.149,0.259,0.095
0.206,0.183,0.176,0.455,0.494,0.442,0.58,0.265,0.382,0.136
0.18,0.152,0.141,0.364,0.458,0.39,0.527,0.136,0.191,0.198
0.435,0.454,0.259,0.409,0.458,0.377,0.446,0.251,0.7,0.319
0.324,0.318,0.181,0.409,0.47,0.429,0.562,0.351,0.369,0.134
0.179,0.168,0.319,0.53,0.614,0.545,0.679,0.913,0.164,0.129
0.215,0.212,0.344,0.515,0.602,0.597,0.696,0.958,0.232,0.101
0.53,0.508,0.113,0.303,0.325,0.286,0.375,0.156,0.502,0.367
0.43,0.412,0.221,0.424,0.494,0.455,0.5,0.414,0.341,0.326
0.0,0.0,0.276,0.788,0.867,0.74,0.857,0.209,0.0,0.049
0.209,0.184,0.182,0.53,0.59,0.506,0.616,0.551,0.362,0.126
0.368,0.338,0.146,0.348,0.41,0.429,0.491,0.425,0.324,0.217
0.007,0.009,0.284,0.773,0.843,0.714,0.857,0.217,0.143,0.046
0.519,0.481,0.14,0.379,0.434,0.416,0.491,0.583,0.44,0.235
0.211,0.21,0.161,0.485,0.59,0.519,0.643,0.098,0.177,0.147
0.512,0.486,0.186,0.273,0.325,0.208,0.259,0.354,0.491,0.376
0.131,0.116,0.147,0.515,0.627,0.571,0.714,0.115,0.201,0.075
0.291,0.306,0.286,0.561,0.627,0.468,0.58,0.062,0.287,0.279
0.06,0.058,0.32,0.712,0.771,0.61,0.75,0.191,0.123,0.091
0.344,0.325,0.213,0.394,0.458,0.468,0.562,0.381,0.273,0.223
0.47,0.461,0.311,0.394,0.349,0.338,0.348,0.189,0.567,0.464
0.455,0.461,0.388,0.485,0.53,0.403,0.473,0.078,0.526,0.385
0.302,0.315,0.296,0.485,0.506,0.494,0.545,0.056,0.512,0.256
0.341,0.336,0.184,0.636,0.675,0.571,0.643,0.074,0.573,0.257
0.257,0.248,0.297,0.5,0.554,0.519,0.634,0.836,0.317,0.193
0.616,0.62,0.226,0.227,0.229,0.234,0.321,0.265,0.679,0.402
0.148,0.134,0.204,0.455,0.566,0.519,0.679,0.253,0.157,0.157
0.144,0.128,0.206,0.561,0.663,0.506,0.661,0.353,0.188,0.028
0.146,0.136,0.213,0.515,0.627,0.571,0.714,0.253,0.239,0.125
0.421,0.427,0.163,0.561,0.578,0.545,0.58,0.073,0.594,0.239
0.383,0.354,0.176,0.364,0.434,0.403,0.491,0.331,0.399,0.242
0.348,0.353,0.238,0.394,0.446,0.416,0.509,0.246,0.512,0.265
