X1, X2, X3, X4, X5, X6, X7, X8, X9, X10, X11, y
0.204,0.199,0.162,0.53,0.651,0.584,0.705,0.25,0.205,0.402,0.205,0.188
0.206,0.213,0.288,0.848,0.928,0.961,0.982,0.193,0.827,0.055,0.427,0.345
0.095,0.096,0.2,0.561,0.663,0.584,0.723,0.239,0.415,0.108,0.038,0.068
0.413,0.396,0.261,0.333,0.422,0.338,0.437,0.455,0.184,0.124,0.679,0.254
0.253,0.248,0.172,0.606,0.699,0.558,0.67,0.239,0.351,0.725,0.246,0.108
0.213,0.222,0.212,0.561,0.663,0.571,0.705,0.216,0.215,0.424,0.102,0.112
0.412,0.407,0.439,0.47,0.494,0.403,0.464,0.341,0.331,0.177,0.584,0.377
0.175,0.172,0.208,0.576,0.699,0.61,0.714,0.227,0.218,0.405,0.13,0.154
0.341,0.336,0.184,0.636,0.675,0.571,0.643,0.261,0.268,0.074,0.573,0.257
0.375,0.403,0.713,0.364,0.434,0.403,0.527,0.227,0.464,0.242,0.3,0.234
0.211,0.206,0.283,0.545,0.602,0.494,0.634,0.307,0.341,0.567,0.505,0.191
0.271,0.266,0.256,0.379,0.386,0.351,0.429,0.5,0.247,0.162,0.242,0.168
0.286,0.288,0.34,0.576,0.627,0.519,0.607,0.205,0.464,0.062,0.345,0.347
0.291,0.306,0.286,0.561,0.627,0.468,0.58,0.125,0.491,0.062,0.287,0.279
0.155,0.139,0.151,0.515,0.614,0.545,0.679,0.318,0.152,0.11,0.242,0.094
0.053,0.051,0.182,0.682,0.747,0.688,0.795,0.136,0.394,0.273,0.215,0.057
0.233,0.242,0.263,0.788,0.867,0.753,0.848,0.818,0.691,0.048,0.382,0.393
0.188,0.166,0.197,0.515,0.602,0.532,0.661,0.33,0.194,0.576,0.29,0.108
0.355,0.345,0.362,0.53,0.602,0.455,0.545,0.17,0.394,0.161,0.157,0.304
0.355,0.344,0.355,0.5,0.518,0.455,0.536,0.148,0.391,0.166,0.3,0.308
0.137,0.132,0.313,0.53,0.614,0.623,0.723,0.159,0.32,0.948,0.208,0.138
0.403,0.414,0.309,0.455,0.482,0.506,0.536,0.182,0.445,0.044,0.403,0.256
0.364,0.362,0.153,0.576,0.663,0.558,0.661,0.193,0.289,0.684,0.324,0.117
0.202,0.203,0.204,0.53,0.639,0.597,0.688,0.216,0.352,0.435,0.505,0.197
0.55,0.557,0.605,0.439,0.506,0.364,0.446,0.795,0.409,0.005,0.471,0.435
0.271,0.273,0.185,0.53,0.614,0.545,0.661,0.295,0.204,0.403,0.338,0.201
0.142,0.136,0.197,0.545,0.627,0.545,0.661,0.295,0.31,0.099,0.143,0.117
0.148,0.13,0.214,0.606,0.723,0.61,0.75,0.307,0.226,0.428,0.259,0.116
