2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0.382,0.390,0.383,0.366,0.349,0.336,0.302,0.278,0.288,0.230,0.228
0.238,0.246,0.237,0.227,0.212,0.201,0.173,0.158,0.179,0.139,0.145
0.182,0.182,0.184,0.193,0.190,0.189,0.180,0.175,0.183,0.154,0.159
0.345,0.357,0.341,0.320,0.299,0.288,0.250,0.213,0.243,0.182,0.189
0.169,0.172,0.169,0.172,0.168,0.167,0.155,0.144,0.152,0.130,0.130
0.418,0.435,0.403,0.378,0.353,0.336,0.300,0.281,0.319,0.266,0.285
0.261,0.270,0.262,0.263,0.251,0.246,0.222,0.211,0.225,0.184,0.163
0.300,0.311,0.296,0.287,0.266,0.251,0.218,0.195,0.217,0.171,0.176
0.349,0.368,0.360,0.348,0.334,0.325,0.290,0.249,0.283,0.220,0.226
0.351,0.352,0.334,0.325,0.306,0.292,0.264,0.247,0.259,0.218,0.220
0.462,0.486,0.435,0.403,0.375,0.356,0.301,0.279,0.312,0.252,0.257
0.372,0.374,0.358,0.338,0.320,0.297,0.260,0.242,0.252,0.217,0.213
0.428,0.436,0.392,0.364,0.336,0.319,0.269,0.248,0.272,0.216,0.222
0.233,0.249,0.235,0.231,0.213,0.199,0.170,0.150,0.183,0.132,0.139
0.175,0.179,0.184,0.193,0.190,0.189,0.185,0.175,0.185,0.153,0.162
0.244,0.252,0.250,0.245,0.234,0.220,0.196,0.176,0.200,0.156,0.163
0.284,0.293,0.281,0.272,0.257,0.244,0.212,0.197,0.218,0.175,0.143
0.466,0.479,0.460,0.438,0.414,0.391,0.345,0.326,0.353,0.301,0.311
0.299,0.304,0.284,0.272,0.260,0.248,0.217,0.208,0.230,0.201,0.211
0.152,0.161,0.157,0.158,0.149,0.138,0.121,0.118,0.139,0.111,0.119
0.367,0.377,0.355,0.344,0.328,0.318,0.290,0.273,0.276,0.235,0.236
0.345,0.354,0.335,0.328,0.314,0.303,0.273,0.257,0.266,0.227,0.227
0.212,0.218,0.206,0.199,0.184,0.177,0.158,0.149,0.166,0.136,0.134
0.450,0.469,0.426,0.392,0.357,0.334,0.278,0.253,0.292,0.209,0.215
0.279,0.290,0.286,0.271,0.253,0.234,0.193,0.178,0.206,0.147,0.155
0.121,0.121,0.115,0.115,0.107,0.102,0.088,0.083,0.098,0.083,0.088
0.366,0.371,0.338,0.324,0.315,0.308,0.284,0.274,0.285,0.246,0.234
0.167,0.171,0.169,0.173,0.167,0.160,0.147,0.138,0.151,0.121,0.100
0.603,0.636,0.570,0.530,0.486,0.461,0.390,0.355,0.419,0.306,0.325
0.350,0.364,0.342,0.327,0.308,0.289,0.249,0.234,0.250,0.196,0.201
0.262,0.267,0.260,0.249,0.231,0.221,0.195,0.189,0.212,0.173,0.181
